Container nvidia build =  16972326
out dir is .
python   run_squad.py --init_checkpoint=/data/bert_base/bert_base_uncased.pt --do_train --train_file=/data/squad/v1.1/train-v1.1.json --train_batch_size=6  --do_lower_case  --bert_model=bert-large-uncased  --learning_rate=0.0  --seed=1  --num_train_epochs=2.0  --max_seq_length=384  --doc_stride=128  --output_dir=.  --vocab_file=/data/bert_base/bert-base-uncased-vocab.txt  --config_file=/data/bert_base/bert_config.json  --max_steps=1000   |& tee ./logfile.txt

Iteration:   0%|          | 0/14774 [00:00<?, ?it/s]/opt/conda/lib/python3.6/site-packages/torch/functional.py:1242: UserWarning: torch.norm is deprecated and may be removed in a future PyTorch release. Use torch.linalg.norm instead.
  "torch.norm is deprecated and may be removed in a future PyTorch release. "
/workspace/examples/bert/optimization.py:150: UserWarning: This overload of add_ is deprecated:
	add_(Number alpha, Tensor other)
Consider using one of the following signatures instead:
	add_(Tensor other, *, Number alpha) (Triggered internally at  ../torch/csrc/utils/python_arg_parser.cpp:882.)
  next_m.mul_(beta1).add_(1 - beta1, grad)

Iteration:   0%|          | 1/14774 [00:00<2:29:15,  1.65it/s]
Iteration:   0%|          | 2/14774 [00:00<1:59:27,  2.06it/s]
Iteration:   0%|          | 3/14774 [00:01<1:38:34,  2.50it/s]
Iteration:   1%|          | 93/14774 [00:19<49:50,  4.91it/s]
Iteration:   1%|          | 94/14774 [00:19<49:48,  4.91it/s]
Iteration:   1%|          | 95/14774 [00:19<49:47,  4.91it/s]
Iteration:   1%|          | 96/14774 [00:20<49:44,  4.92it/s]
Iteration:   1%|          | 97/14774 [00:20<49:53,  4.90it/s]
Iteration:   1%|          | 98/14774 [00:20<49:59,  4.89it/s]
Iteration:   1%|          | 99/14774 [00:20<50:05,  4.88it/s]
Iteration:   1%|          | 100/14774 [00:20<50:01,  4.89it/s]
Iteration:   1%|          | 101/14774 [00:21<50:02,  4.89it/s]
Iteration:   1%|          | 102/14774 [00:21<50:00,  4.89it/s]
Iteration:   1%|          | 103/14774 [00:21<49:58,  4.89it/s]
Iteration:   1%|          | 104/14774 [00:21<49:57,  4.89it/s]
Iteration:   1%|          | 105/14774 [00:21<49:57,  4.89it/s]
Iteration:   1%|          | 106/14774 [00:22<49:56,  4.90it/s]
Iteration:   1%|          | 107/14774 [00:22<50:00,  4.89it/s]
Iteration:   1%|          | 108/14774 [00:22<50:02,  4.88it/s]
Iteration:   1%|          | 109/14774 [00:22<50:08,  4.87it/s]
Iteration:   1%|          | 110/14774 [00:22<50:03,  4.88it/s]
Iteration:   1%|          | 111/14774 [00:23<49:58,  4.89it/s]
Iteration:   1%|          | 112/14774 [00:23<49:55,  4.89it/s]
Iteration:   1%|          | 113/14774 [00:23<49:55,  4.89it/s]
Iteration:   1%|          | 114/14774 [00:23<49:51,  4.90it/s]
Iteration:   1%|          | 115/14774 [00:23<49:52,  4.90it/s]
Iteration:   1%|          | 116/14774 [00:24<49:50,  4.90it/s]
Iteration:   1%|          | 117/14774 [00:24<49:55,  4.89it/s]
Iteration:   1%|          | 118/14774 [00:24<49:58,  4.89it/s]
Iteration:   1%|          | 119/14774 [00:24<50:03,  4.88it/s]
Iteration:   1%|          | 120/14774 [00:24<50:02,  4.88it/s]
Iteration:   1%|          | 121/14774 [00:25<49:57,  4.89it/s]
Iteration:   1%|          | 122/14774 [00:25<49:52,  4.90it/s]
Iteration:   1%|          | 123/14774 [00:25<49:52,  4.90it/s]
Iteration:   1%|          | 124/14774 [00:25<49:51,  4.90it/s]
Iteration:   1%|          | 125/14774 [00:26<49:48,  4.90it/s]
Iteration:   1%|          | 126/14774 [00:26<49:48,  4.90it/s]
Iteration:   1%|          | 127/14774 [00:26<49:54,  4.89it/s]
Iteration:   1%|          | 128/14774 [00:26<49:56,  4.89it/s]
Iteration:   1%|          | 129/14774 [00:26<49:59,  4.88it/s]
Iteration:   1%|          | 130/14774 [00:27<49:55,  4.89it/s]
Iteration:   1%|          | 131/14774 [00:27<49:54,  4.89it/s]
Iteration:   1%|          | 132/14774 [00:27<49:53,  4.89it/s]
Iteration:   1%|          | 133/14774 [00:27<49:51,  4.89it/s]
Iteration:   1%|          | 134/14774 [00:27<49:49,  4.90it/s]
Iteration:   1%|          | 135/14774 [00:28<49:49,  4.90it/s]
Iteration:   1%|          | 136/14774 [00:28<49:48,  4.90it/s]
Iteration:   1%|          | 137/14774 [00:28<49:50,  4.90it/s]
Iteration:   1%|          | 138/14774 [00:28<49:50,  4.89it/s]
Iteration:   1%|          | 139/14774 [00:28<49:55,  4.89it/s]
Iteration:   1%|          | 140/14774 [00:29<49:54,  4.89it/s]
Iteration:   1%|          | 141/14774 [00:29<49:54,  4.89it/s]
Iteration:   1%|          | 142/14774 [00:29<49:50,  4.89it/s]
Iteration:   1%|          | 143/14774 [00:29<49:49,  4.89it/s]
Iteration:   1%|          | 144/14774 [00:29<49:48,  4.90it/s]
Iteration:   1%|          | 145/14774 [00:30<49:44,  4.90it/s]
Iteration:   1%|          | 146/14774 [00:30<49:40,  4.91it/s]
Iteration:   1%|          | 147/14774 [00:30<49:44,  4.90it/s]
Iteration:   1%|          | 148/14774 [00:30<49:46,  4.90it/s]
Iteration:   1%|          | 149/14774 [00:30<49:49,  4.89it/s]
Iteration:   1%|          | 150/14774 [00:31<49:48,  4.89it/s]
Iteration:   1%|          | 151/14774 [00:31<49:44,  4.90it/s]
Iteration:   1%|          | 152/14774 [00:31<49:42,  4.90it/s]
Iteration:   1%|          | 153/14774 [00:31<49:39,  4.91it/s]
Iteration:   1%|          | 154/14774 [00:31<49:36,  4.91it/s]
Iteration:   1%|          | 155/14774 [00:32<49:35,  4.91it/s]
Iteration:   1%|          | 156/14774 [00:32<49:35,  4.91it/s]
Iteration:   1%|          | 157/14774 [00:32<49:45,  4.90it/s]
Iteration:   1%|          | 158/14774 [00:32<49:48,  4.89it/s]
Iteration:   1%|          | 159/14774 [00:32<49:56,  4.88it/s]
Iteration:   1%|          | 160/14774 [00:33<49:59,  4.87it/s]
Iteration:   1%|          | 161/14774 [00:33<50:01,  4.87it/s]
Iteration:   1%|          | 162/14774 [00:33<50:01,  4.87it/s]
Iteration:   1%|          | 163/14774 [00:33<50:02,  4.87it/s]
Iteration:   1%|          | 164/14774 [00:33<50:00,  4.87it/s]
Iteration:   1%|          | 165/14774 [00:34<50:00,  4.87it/s]
Iteration:   1%|          | 166/14774 [00:34<49:59,  4.87it/s]
Iteration:   1%|          | 167/14774 [00:34<49:59,  4.87it/s]
Iteration:   1%|          | 168/14774 [00:34<50:00,  4.87it/s]
Iteration:   1%|          | 169/14774 [00:35<50:04,  4.86it/s]
Iteration:   1%|          | 170/14774 [00:35<50:03,  4.86it/s]
Iteration:   1%|          | 171/14774 [00:35<50:00,  4.87it/s]
Iteration:   1%|          | 172/14774 [00:35<49:57,  4.87it/s]
Iteration:   1%|          | 173/14774 [00:35<49:58,  4.87it/s]
Iteration:   1%|          | 174/14774 [00:36<49:57,  4.87it/s]
Iteration:   1%|          | 175/14774 [00:36<49:58,  4.87it/s]
Iteration:   1%|          | 176/14774 [00:36<49:59,  4.87it/s]
Iteration:   1%|          | 177/14774 [00:36<49:56,  4.87it/s]
Iteration:   1%|          | 178/14774 [00:36<49:55,  4.87it/s]
Iteration:   1%|          | 179/14774 [00:37<50:00,  4.86it/s]
Iteration:   1%|          | 180/14774 [00:37<49:56,  4.87it/s]
Iteration:   1%|          | 181/14774 [00:37<49:55,  4.87it/s]
Iteration:   1%|          | 182/14774 [00:37<49:57,  4.87it/s]
Iteration:   1%|          | 183/14774 [00:37<49:56,  4.87it/s]
Iteration:   1%|          | 184/14774 [00:38<49:54,  4.87it/s]
Iteration:   1%|▏         | 185/14774 [00:38<49:55,  4.87it/s]
Iteration:   1%|▏         | 186/14774 [00:38<49:53,  4.87it/s]
Iteration:   1%|▏         | 187/14774 [00:38<49:49,  4.88it/s]
Iteration:   1%|▏         | 188/14774 [00:38<49:49,  4.88it/s]
Iteration:   1%|▏         | 189/14774 [00:39<49:56,  4.87it/s]
Iteration:   1%|▏         | 190/14774 [00:39<49:57,  4.87it/s]
Iteration:   1%|▏         | 191/14774 [00:39<49:57,  4.86it/s]
Iteration:   1%|▏         | 192/14774 [00:39<49:57,  4.87it/s]
Iteration:   1%|▏         | 193/14774 [00:39<49:55,  4.87it/s]
Iteration:   1%|▏         | 194/14774 [00:40<49:56,  4.87it/s]
Iteration:   1%|▏         | 195/14774 [00:40<49:52,  4.87it/s]
Iteration:   1%|▏         | 196/14774 [00:40<49:50,  4.87it/s]
Iteration:   1%|▏         | 197/14774 [00:40<49:53,  4.87it/s]
Iteration:   1%|▏         | 198/14774 [00:40<49:52,  4.87it/s]
Iteration:   1%|▏         | 199/14774 [00:41<49:52,  4.87it/s]
Iteration:   1%|▏         | 200/14774 [00:41<49:45,  4.88it/s]
Iteration:   1%|▏         | 201/14774 [00:41<49:43,  4.88it/s]
Iteration:   1%|▏         | 202/14774 [00:41<49:43,  4.88it/s]
Iteration:   1%|▏         | 203/14774 [00:41<49:37,  4.89it/s]
Iteration:   1%|▏         | 204/14774 [00:42<49:37,  4.89it/s]
Iteration:   1%|▏         | 205/14774 [00:42<49:34,  4.90it/s]
Iteration:   1%|▏         | 206/14774 [00:42<49:41,  4.89it/s]
Iteration:   1%|▏         | 207/14774 [00:42<49:43,  4.88it/s]
Iteration:   1%|▏         | 208/14774 [00:43<49:48,  4.87it/s]
Iteration:   1%|▏         | 209/14774 [00:43<49:51,  4.87it/s]
Iteration:   1%|▏         | 210/14774 [00:43<49:50,  4.87it/s]
Iteration:   1%|▏         | 211/14774 [00:43<49:47,  4.87it/s]
Iteration:   1%|▏         | 212/14774 [00:43<49:43,  4.88it/s]
Iteration:   1%|▏         | 213/14774 [00:44<49:44,  4.88it/s]
Iteration:   1%|▏         | 214/14774 [00:44<49:44,  4.88it/s]
Iteration:   1%|▏         | 215/14774 [00:44<49:42,  4.88it/s]
Iteration:   1%|▏         | 216/14774 [00:44<49:41,  4.88it/s]
Iteration:   1%|▏         | 217/14774 [00:44<49:42,  4.88it/s]
Iteration:   1%|▏         | 218/14774 [00:45<49:41,  4.88it/s]
Iteration:   1%|▏         | 219/14774 [00:45<49:44,  4.88it/s]
Iteration:   1%|▏         | 220/14774 [00:45<49:45,  4.87it/s]
Iteration:   1%|▏         | 221/14774 [00:45<49:49,  4.87it/s]
Iteration:   2%|▏         | 222/14774 [00:45<49:45,  4.87it/s]
Iteration:   2%|▏         | 223/14774 [00:46<49:43,  4.88it/s]
Iteration:   2%|▏         | 224/14774 [00:46<49:42,  4.88it/s]
Iteration:   2%|▏         | 225/14774 [00:46<49:40,  4.88it/s]
Iteration:   2%|▏         | 226/14774 [00:46<49:40,  4.88it/s]
Iteration:   2%|▏         | 227/14774 [00:46<49:39,  4.88it/s]
Iteration:   2%|▏         | 228/14774 [00:47<49:40,  4.88it/s]
Iteration:   2%|▏         | 229/14774 [00:47<49:38,  4.88it/s]
Iteration:   2%|▏         | 230/14774 [00:47<49:34,  4.89it/s]
Iteration:   2%|▏         | 231/14774 [00:47<49:30,  4.90it/s]
Iteration:   2%|▏         | 232/14774 [00:47<49:27,  4.90it/s]
Iteration:   2%|▏         | 233/14774 [00:48<49:27,  4.90it/s]
Iteration:   2%|▏         | 234/14774 [00:48<49:23,  4.91it/s]
Iteration:   2%|▏         | 235/14774 [00:48<49:25,  4.90it/s]
Iteration:   2%|▏         | 236/14774 [00:48<49:26,  4.90it/s]
Iteration:   2%|▏         | 237/14774 [00:48<49:28,  4.90it/s]
Iteration:   2%|▏         | 238/14774 [00:49<49:31,  4.89it/s]
Iteration:   2%|▏         | 239/14774 [00:49<49:32,  4.89it/s]
Iteration:   2%|▏         | 240/14774 [00:49<49:29,  4.89it/s]
Iteration:   2%|▏         | 241/14774 [00:49<49:26,  4.90it/s]
Iteration:   2%|▏         | 242/14774 [00:49<49:22,  4.90it/s]
Iteration:   2%|▏         | 243/14774 [00:50<49:22,  4.90it/s]
Iteration:   2%|▏         | 244/14774 [00:50<49:22,  4.91it/s]
Iteration:   2%|▏         | 245/14774 [00:50<49:21,  4.91it/s]
Iteration:   2%|▏         | 246/14774 [00:50<49:22,  4.90it/s]
Iteration:   2%|▏         | 247/14774 [00:50<49:29,  4.89it/s]
Iteration:   2%|▏         | 248/14774 [00:51<49:34,  4.88it/s]
Iteration:   2%|▏         | 249/14774 [00:51<49:33,  4.89it/s]
Iteration:   2%|▏         | 250/14774 [00:51<49:32,  4.89it/s]
Iteration:   2%|▏         | 251/14774 [00:51<49:28,  4.89it/s]
Iteration:   2%|▏         | 252/14774 [00:52<49:24,  4.90it/s]
Iteration:   2%|▏         | 253/14774 [00:52<49:23,  4.90it/s]
Iteration:   2%|▏         | 254/14774 [00:52<49:21,  4.90it/s]
Iteration:   2%|▏         | 255/14774 [00:52<49:23,  4.90it/s]
Iteration:   2%|▏         | 256/14774 [00:52<49:26,  4.89it/s]
Iteration:   2%|▏         | 257/14774 [00:53<49:29,  4.89it/s]
Iteration:   2%|▏         | 258/14774 [00:53<49:36,  4.88it/s]
Iteration:   2%|▏         | 259/14774 [00:53<49:31,  4.88it/s]
Iteration:   2%|▏         | 260/14774 [00:53<49:31,  4.88it/s]
Iteration:   2%|▏         | 261/14774 [00:53<49:26,  4.89it/s]
Iteration:   2%|▏         | 262/14774 [00:54<49:24,  4.90it/s]
Iteration:   2%|▏         | 263/14774 [00:54<49:20,  4.90it/s]
Iteration:   2%|▏         | 264/14774 [00:54<49:18,  4.90it/s]
Iteration:   2%|▏         | 265/14774 [00:54<49:20,  4.90it/s]
Iteration:   2%|▏         | 266/14774 [00:54<49:24,  4.89it/s]
Iteration:   2%|▏         | 267/14774 [00:55<49:30,  4.88it/s]
Iteration:   2%|▏         | 268/14774 [00:55<49:29,  4.88it/s]
Iteration:   2%|▏         | 269/14774 [00:55<49:26,  4.89it/s]
Iteration:   2%|▏         | 270/14774 [00:55<49:25,  4.89it/s]
Iteration:   2%|▏         | 271/14774 [00:55<49:24,  4.89it/s]
Iteration:   2%|▏         | 272/14774 [00:56<49:23,  4.89it/s]
Iteration:   2%|▏         | 273/14774 [00:56<49:19,  4.90it/s]
Iteration:   2%|▏         | 274/14774 [00:56<49:17,  4.90it/s]
Iteration:   2%|▏         | 275/14774 [00:56<49:20,  4.90it/s]
Iteration:   2%|▏         | 276/14774 [00:56<49:23,  4.89it/s]
Iteration:   2%|▏         | 277/14774 [00:57<49:27,  4.89it/s]
Iteration:   2%|▏         | 278/14774 [00:57<49:27,  4.89it/s]
Iteration:   2%|▏         | 279/14774 [00:57<49:25,  4.89it/s]
Iteration:   2%|▏         | 280/14774 [00:57<49:26,  4.89it/s]
Iteration:   2%|▏         | 281/14774 [00:57<49:22,  4.89it/s]
Iteration:   2%|▏         | 282/14774 [00:58<49:17,  4.90it/s]
Iteration:   2%|▏         | 283/14774 [00:58<49:15,  4.90it/s]
Iteration:   2%|▏         | 284/14774 [00:58<49:14,  4.90it/s]
Iteration:   2%|▏         | 285/14774 [00:58<49:14,  4.90it/s]
Iteration:   2%|▏         | 286/14774 [00:58<49:16,  4.90it/s]
Iteration:   2%|▏         | 287/14774 [00:59<49:20,  4.89it/s]
Iteration:   2%|▏         | 288/14774 [00:59<49:27,  4.88it/s]
Iteration:   2%|▏         | 289/14774 [00:59<49:28,  4.88it/s]
Iteration:   2%|▏         | 290/14774 [00:59<49:26,  4.88it/s]
Iteration:   2%|▏         | 291/14774 [00:59<49:26,  4.88it/s]
Iteration:   2%|▏         | 292/14774 [01:00<49:25,  4.88it/s]
Iteration:   2%|▏         | 293/14774 [01:00<49:27,  4.88it/s]
Iteration:   2%|▏         | 294/14774 [01:00<49:26,  4.88it/s]
Iteration:   2%|▏         | 295/14774 [01:00<49:26,  4.88it/s]
Iteration:   2%|▏         | 296/14774 [01:01<49:29,  4.88it/s]
Iteration:   2%|▏         | 297/14774 [01:01<49:27,  4.88it/s]
Iteration:   2%|▏         | 298/14774 [01:01<49:31,  4.87it/s]
Iteration:   2%|▏         | 299/14774 [01:01<49:32,  4.87it/s]
Iteration:   2%|▏         | 300/14774 [01:01<49:30,  4.87it/s]
Iteration:   2%|▏         | 301/14774 [01:02<49:30,  4.87it/s]
Iteration:   2%|▏         | 302/14774 [01:02<49:28,  4.88it/s]
Iteration:   2%|▏         | 303/14774 [01:02<49:28,  4.87it/s]
Iteration:   2%|▏         | 304/14774 [01:02<49:26,  4.88it/s]
Iteration:   2%|▏         | 305/14774 [01:02<49:26,  4.88it/s]
Iteration:   2%|▏         | 306/14774 [01:03<49:25,  4.88it/s]
Iteration:   2%|▏         | 307/14774 [01:03<49:26,  4.88it/s]
Iteration:   2%|▏         | 308/14774 [01:03<49:31,  4.87it/s]
Iteration:   2%|▏         | 309/14774 [01:03<49:31,  4.87it/s]
Iteration:   2%|▏         | 310/14774 [01:03<49:27,  4.87it/s]
Iteration:   2%|▏         | 311/14774 [01:04<49:26,  4.88it/s]
Iteration:   2%|▏         | 312/14774 [01:04<49:24,  4.88it/s]
Iteration:   2%|▏         | 313/14774 [01:04<49:25,  4.88it/s]
Iteration:   2%|▏         | 314/14774 [01:04<49:23,  4.88it/s]
Iteration:   2%|▏         | 315/14774 [01:04<49:23,  4.88it/s]
Iteration:   2%|▏         | 316/14774 [01:05<49:24,  4.88it/s]
Iteration:   2%|▏         | 317/14774 [01:05<49:23,  4.88it/s]
Iteration:   2%|▏         | 318/14774 [01:05<49:26,  4.87it/s]
Iteration:   2%|▏         | 319/14774 [01:05<49:29,  4.87it/s]
Iteration:   2%|▏         | 320/14774 [01:05<49:28,  4.87it/s]
Iteration:   2%|▏         | 321/14774 [01:06<49:26,  4.87it/s]
Iteration:   2%|▏         | 322/14774 [01:06<49:23,  4.88it/s]
Iteration:   2%|▏         | 323/14774 [01:06<49:22,  4.88it/s]
Iteration:   2%|▏         | 324/14774 [01:06<49:28,  4.87it/s]
Iteration:   2%|▏         | 325/14774 [01:06<49:26,  4.87it/s]
Iteration:   2%|▏         | 326/14774 [01:07<49:25,  4.87it/s]
Iteration:   2%|▏         | 327/14774 [01:07<49:24,  4.87it/s]
Iteration:   2%|▏         | 328/14774 [01:07<49:29,  4.87it/s]
Iteration:   2%|▏         | 329/14774 [01:07<49:27,  4.87it/s]
Iteration:   2%|▏         | 330/14774 [01:07<49:25,  4.87it/s]
Iteration:   2%|▏         | 331/14774 [01:08<49:24,  4.87it/s]
Iteration:   2%|▏         | 332/14774 [01:08<49:21,  4.88it/s]
Iteration:   2%|▏         | 333/14774 [01:08<49:19,  4.88it/s]
Iteration:   2%|▏         | 334/14774 [01:08<49:18,  4.88it/s]
Iteration:   2%|▏         | 335/14774 [01:09<49:19,  4.88it/s]
Iteration:   2%|▏         | 336/14774 [01:09<49:20,  4.88it/s]
Iteration:   2%|▏         | 337/14774 [01:09<49:18,  4.88it/s]
Iteration:   2%|▏         | 338/14774 [01:09<49:24,  4.87it/s]
Iteration:   2%|▏         | 339/14774 [01:09<49:24,  4.87it/s]
Iteration:   2%|▏         | 340/14774 [01:10<49:22,  4.87it/s]
Iteration:   2%|▏         | 341/14774 [01:10<49:19,  4.88it/s]
Iteration:   2%|▏         | 342/14774 [01:10<49:20,  4.88it/s]
Iteration:   2%|▏         | 343/14774 [01:10<49:19,  4.88it/s]
Iteration:   2%|▏         | 344/14774 [01:10<49:17,  4.88it/s]
Iteration:   2%|▏         | 345/14774 [01:11<49:17,  4.88it/s]
Iteration:   2%|▏         | 346/14774 [01:11<49:17,  4.88it/s]
Iteration:   2%|▏         | 347/14774 [01:11<49:18,  4.88it/s]
Iteration:   2%|▏         | 348/14774 [01:11<49:18,  4.88it/s]
Iteration:   2%|▏         | 349/14774 [01:11<49:19,  4.87it/s]
Iteration:   2%|▏         | 350/14774 [01:12<49:21,  4.87it/s]
Iteration:   2%|▏         | 351/14774 [01:12<49:22,  4.87it/s]
Iteration:   2%|▏         | 352/14774 [01:12<49:24,  4.86it/s]
Iteration:   2%|▏         | 353/14774 [01:12<49:24,  4.87it/s]
Iteration:   2%|▏         | 354/14774 [01:12<49:23,  4.87it/s]
Iteration:   2%|▏         | 355/14774 [01:13<49:23,  4.86it/s]
Iteration:   2%|▏         | 356/14774 [01:13<49:23,  4.86it/s]
Iteration:   2%|▏         | 357/14774 [01:13<49:27,  4.86it/s]
Iteration:   2%|▏         | 358/14774 [01:13<49:22,  4.87it/s]
